#   x-distance             N           vel          temp
    -19.800000     12.472709      0.004155      1.509027
    -19.600000     12.522367      0.003904      1.510674
    -19.400000     12.581117      0.004313      1.510219
    -19.200000     12.645375      0.003872      1.510004
    -19.000000     12.678282      0.003896      1.508764
    -18.800000     12.718760      0.004282      1.510153
    -18.600000     12.760516      0.004275      1.508861
    -18.400000     12.805250      0.004039      1.509185
    -18.200000     12.879176      0.004010      1.509186
    -18.000000     12.915432      0.004029      1.510052
    -17.800000     12.968378      0.003976      1.508945
    -17.600000     13.005351      0.004028      1.509866
    -17.400000     13.039567      0.003999      1.508896
    -17.200000     13.076878      0.003988      1.508458
    -17.000000     13.167942      0.003657      1.508083
    -16.800000     13.205903      0.004642      1.509161
    -16.600000     13.172921      0.003811      1.507607
    -16.400000     13.162755      0.004081      1.506562
    -16.200000     13.178489      0.003514      1.505724
    -16.000000     13.197666      0.004035      1.507046
    -15.800000     13.215942      0.003974      1.507919
    -15.600000     13.207769      0.003527      1.507022
    -15.400000     13.199050      0.004044      1.508417
    -15.200000     13.198982      0.003780      1.506443
    -15.000000     13.200489      0.003918      1.506890
    -14.800000     13.212684      0.003600      1.507012
    -14.600000     13.221676      0.004188      1.506484
    -14.400000     13.211712      0.003847      1.507697
    -14.200000     13.213463      0.003969      1.507748
    -14.000000     13.218629      0.004122      1.506204
    -13.800000     13.229426      0.004013      1.506527
    -13.600000     13.205293      0.004075      1.506249
    -13.400000     13.212894      0.003890      1.505905
    -13.200000     13.211832      0.004360      1.505148
    -13.000000     13.233453      0.004153      1.504513
    -12.800000     13.224579      0.004317      1.504210
    -12.600000     13.221625      0.004146      1.503086
    -12.400000     13.229607      0.003989      1.505047
    -12.200000     13.203773      0.004231      1.504687
    -12.000000     13.171390      0.004213      1.505698
    -11.800000     13.121708      0.003983      1.506594
    -11.600000     13.170697      0.003648      1.505019
    -11.400000     13.229614      0.004114      1.505503
    -11.200000     13.150899      0.004410      1.504545
    -11.000000     12.927071      0.005072      1.502093
    -10.800000     12.756998      0.004277      1.505553
    -10.600000     12.863836      0.003605      1.506545
    -10.400000     13.085090      0.003996      1.504763
    -10.200000     12.816696      0.006286      1.504929
    -10.000000     11.793680      0.008243      1.504368
     -9.800000     11.002303      0.005903      1.502360
     -9.600000     11.110383      0.002750      1.501878
     -9.400000     12.042330      0.001343      1.500119
     -9.200000     11.497821      0.014394      1.501263
     -9.000000      6.509732      0.039856      1.499242
     -8.800000      3.004330      0.040176      1.496217
     -8.600000      2.259191      0.033285      1.500378
     -8.400000      2.076065      0.032524      1.497081
     -8.200000      1.999399      0.032414      1.493597
     -8.000000      1.948352      0.036268      1.490413
     -7.800000      1.900671      0.035423      1.492905
     -7.600000      1.873367      0.035967      1.496922
     -7.400000      1.868558      0.036020      1.501238
     -7.200000      1.846643      0.038694      1.505811
     -7.000000      1.816592      0.036984      1.506862
     -6.800000      1.805789      0.037055      1.498956
     -6.600000      1.813697      0.038989      1.504003
     -6.400000      1.814288      0.038263      1.505866
     -6.200000      1.800351      0.040544      1.505261
     -6.000000      1.784317      0.040084      1.507286
     -5.800000      1.796928      0.037347      1.503134
     -5.600000      1.808898      0.038600      1.506953
     -5.400000      1.797729      0.040297      1.506152
     -5.200000      1.775456      0.039000      1.503362
     -5.000000      1.777913      0.038671      1.500199
     -4.800000      1.795299      0.037153      1.503961
     -4.600000      1.799441      0.038974      1.500374
     -4.400000      1.777405      0.040802      1.497092
     -4.200000      1.769729      0.039252      1.501129
     -4.000000      1.784290      0.038291      1.497107
     -3.800000      1.788275      0.038496      1.503399
     -3.600000      1.777196      0.039204      1.509511
     -3.400000      1.764162      0.037643      1.515253
     -3.200000      1.773066      0.037892      1.505019
     -3.000000      1.783944      0.036462      1.505199
     -2.800000      1.775765      0.041292      1.508523
     -2.600000      1.761222      0.037864      1.509652
     -2.400000      1.760089      0.038543      1.510617
     -2.200000      1.776242      0.037475      1.507657
     -2.000000      1.779359      0.039114      1.503604
     -1.800000      1.759187      0.038809      1.503301
     -1.600000      1.758941      0.039664      1.505134
     -1.400000      1.772978      0.036719      1.508513
     -1.200000      1.778036      0.038582      1.507465
     -1.000000      1.769167      0.037897      1.504372
     -0.800000      1.755189      0.039487      1.504388
     -0.600000      1.755822      0.040752      1.509165
     -0.400000      1.776543      0.039238      1.507686
     -0.200000      1.763255      0.039117      1.510631
      0.000000      1.748933      0.040134      1.510278
      0.200000      1.740750      0.041759      1.508580
      0.400000      1.755254      0.040088      1.509014
      0.600000      1.757516      0.041850      1.512401
      0.800000      1.751742      0.042436      1.502640
      1.000000      1.744784      0.040340      1.507340
      1.200000      1.748227      0.040621      1.503078
      1.400000      1.759293      0.039944      1.504687
      1.600000      1.749705      0.042529      1.497663
      1.800000      1.743485      0.040956      1.498413
      2.000000      1.742968      0.041391      1.499421
      2.200000      1.760014      0.040129      1.497801
      2.400000      1.756122      0.042254      1.508270
      2.600000      1.736786      0.041478      1.506685
      2.800000      1.730814      0.040540      1.508784
      3.000000      1.745024      0.042118      1.508921
      3.200000      1.753256      0.040507      1.515612
      3.400000      1.736051      0.041708      1.512515
      3.600000      1.728553      0.041774      1.512116
      3.800000      1.736810      0.039915      1.508495
      4.000000      1.751820      0.039549      1.505369
      4.200000      1.732907      0.040617      1.516026
      4.400000      1.723969      0.041907      1.511052
      4.600000      1.721657      0.040634      1.512793
      4.800000      1.744918      0.039426      1.506963
      5.000000      1.744930      0.041370      1.509763
      5.200000      1.723377      0.042835      1.515433
      5.400000      1.716470      0.042237      1.515805
      5.600000      1.732893      0.039967      1.516111
      5.800000      1.744273      0.040819      1.514046
      6.000000      1.726324      0.043589      1.515432
      6.200000      1.720714      0.042288      1.512208
      6.400000      1.724244      0.041803      1.513478
      6.600000      1.742490      0.041368      1.515131
      6.800000      1.741669      0.042394      1.517934
      7.000000      1.729024      0.042063      1.519029
      7.200000      1.735151      0.041638      1.522579
      7.400000      1.757119      0.040098      1.516061
      7.600000      1.777461      0.039219      1.516520
      7.800000      1.777656      0.036658      1.519115
      8.000000      1.794962      0.037610      1.524879
      8.200000      1.828795      0.037264      1.525745
      8.400000      1.876259      0.032817      1.522256
      8.600000      1.945269      0.030240      1.514449
      8.800000      2.085275      0.023913      1.519645
      9.000000      2.667191     -0.000088      1.519881
      9.200000      5.501930     -0.021712      1.518758
      9.400000      9.902794     -0.005471      1.518417
      9.600000     10.703922      0.006672      1.517304
      9.800000     10.128517      0.006433      1.519793
     10.000000     10.085595      0.004215      1.518503
     10.200000     10.761280      0.001691      1.516870
     10.400000     11.655801      0.002498      1.518095
     10.600000     11.993018      0.004077      1.516900
     10.800000     11.914078      0.004358      1.517146
     11.000000     11.882065      0.004192      1.516997
     11.200000     12.019527      0.003690      1.517859
     11.400000     12.199560      0.003612      1.516997
     11.600000     12.280641      0.004368      1.516619
     11.800000     12.273508      0.004311      1.516061
     12.000000     12.255549      0.004593      1.516425
     12.200000     12.286363      0.004278      1.517064
     12.400000     12.330706      0.004203      1.515542
     12.600000     12.353198      0.004697      1.516206
     12.800000     12.348837      0.004391      1.515023
     13.000000     12.361408      0.004484      1.514822
     13.200000     12.337382      0.004477      1.513733
     13.400000     12.361467      0.004272      1.514767
     13.600000     12.369217      0.004412      1.515626
     13.800000     12.359919      0.004403      1.516444
     14.000000     12.358496      0.004278      1.516036
     14.200000     12.385006      0.004187      1.514836
     14.400000     12.373321      0.004059      1.515939
     14.600000     12.360344      0.004215      1.514328
     14.800000     12.363079      0.004016      1.513231
     15.000000     12.379617      0.004656      1.512359
     15.200000     12.388252      0.004718      1.512942
     15.400000     12.372155      0.004278      1.514303
     15.600000     12.339396      0.004346      1.516342
     15.800000     12.371785      0.004095      1.515166
     16.000000     12.394703      0.004499      1.513552
     16.200000     12.401204      0.004395      1.513214
     16.400000     12.378688      0.003912      1.512634
     16.600000     12.353412      0.004170      1.514803
     16.800000     12.361576      0.004445      1.511804
     17.000000     12.396724      0.004234      1.513495
     17.200000     12.391241      0.004389      1.511106
     17.400000     12.392570      0.004416      1.511659
     17.600000     12.379983      0.004495      1.513224
     17.800000     12.392430      0.003952      1.511826
     18.000000     12.397341      0.004107      1.511011
     18.200000     12.413865      0.004175      1.509353
     18.400000     12.410704      0.004247      1.510118
     18.600000     12.397282      0.004018      1.512520
     18.800000     12.418699      0.004238      1.512507
     19.000000     12.409670      0.004057      1.510699
     19.200000     12.411528      0.003972      1.510164
     19.400000     12.429740      0.004377      1.510639
     19.600000     12.431325      0.004557      1.510777
     19.800000     12.436908      0.004263      1.511113
     20.000000     12.425103      0.004494      1.511427
