#      time    totEnergy    potEnergy   kinEneryFl  kinEnergyWa    tempFluid     tempWall
    5.00000   0.4096E+04  -0.1969E+04   0.3366E+04   0.2699E+04   0.1507E+01   0.1500E+01
   10.00000   0.4007E+04  -0.1941E+04   0.3249E+04   0.2699E+04   0.1455E+01   0.1500E+01
   15.00000   0.3999E+04  -0.1979E+04   0.3278E+04   0.2699E+04   0.1468E+01   0.1500E+01
   20.00000   0.4130E+04  -0.1849E+04   0.3280E+04   0.2699E+04   0.1469E+01   0.1500E+01
   25.00000   0.4080E+04  -0.1859E+04   0.3240E+04   0.2699E+04   0.1451E+01   0.1500E+01
   30.00000   0.4083E+04  -0.1901E+04   0.3284E+04   0.2699E+04   0.1470E+01   0.1500E+01
   35.00000   0.4059E+04  -0.1991E+04   0.3350E+04   0.2699E+04   0.1500E+01   0.1500E+01
   40.00000   0.4065E+04  -0.1944E+04   0.3310E+04   0.2699E+04   0.1482E+01   0.1500E+01
   45.00000   0.3979E+04  -0.2035E+04   0.3315E+04   0.2699E+04   0.1484E+01   0.1500E+01
   50.00000   0.4073E+04  -0.1916E+04   0.3289E+04   0.2699E+04   0.1473E+01   0.1500E+01
   55.00000   0.3946E+04  -0.2046E+04   0.3292E+04   0.2699E+04   0.1474E+01   0.1500E+01
   60.00000   0.3959E+04  -0.2054E+04   0.3314E+04   0.2699E+04   0.1484E+01   0.1500E+01
   65.00000   0.3967E+04  -0.1957E+04   0.3224E+04   0.2699E+04   0.1444E+01   0.1500E+01
   70.00000   0.4024E+04  -0.2046E+04   0.3371E+04   0.2699E+04   0.1509E+01   0.1500E+01
   75.00000   0.3999E+04  -0.2041E+04   0.3341E+04   0.2699E+04   0.1496E+01   0.1500E+01
   80.00000   0.4100E+04  -0.1940E+04   0.3341E+04   0.2699E+04   0.1496E+01   0.1500E+01
   85.00000   0.3993E+04  -0.2004E+04   0.3297E+04   0.2699E+04   0.1476E+01   0.1500E+01
   90.00000   0.3911E+04  -0.2027E+04   0.3239E+04   0.2699E+04   0.1450E+01   0.1500E+01
   95.00000   0.4014E+04  -0.2024E+04   0.3339E+04   0.2699E+04   0.1495E+01   0.1500E+01
  100.00000   0.4004E+04  -0.1968E+04   0.3272E+04   0.2699E+04   0.1465E+01   0.1500E+01
  105.00000   0.3977E+04  -0.2022E+04   0.3299E+04   0.2699E+04   0.1477E+01   0.1500E+01
  110.00000   0.4004E+04  -0.2015E+04   0.3320E+04   0.2699E+04   0.1486E+01   0.1500E+01
  115.00000   0.3967E+04  -0.2042E+04   0.3310E+04   0.2699E+04   0.1482E+01   0.1500E+01
  120.00000   0.3935E+04  -0.2029E+04   0.3265E+04   0.2699E+04   0.1462E+01   0.1500E+01
  125.00000   0.3870E+04  -0.2120E+04   0.3290E+04   0.2699E+04   0.1473E+01   0.1500E+01
  130.00000   0.3978E+04  -0.2000E+04   0.3279E+04   0.2699E+04   0.1468E+01   0.1500E+01
  135.00000   0.4091E+04  -0.1820E+04   0.3212E+04   0.2699E+04   0.1438E+01   0.1500E+01
  140.00000   0.3941E+04  -0.2064E+04   0.3306E+04   0.2699E+04   0.1480E+01   0.1500E+01
  145.00000   0.3997E+04  -0.2036E+04   0.3333E+04   0.2699E+04   0.1492E+01   0.1500E+01
  150.00000   0.4202E+04  -0.1896E+04   0.3398E+04   0.2699E+04   0.1522E+01   0.1500E+01
